iter, outer, inner,              fitness,                alpha,              mag(dx),               weight,             wingspan
   0,     0,     0,  1.4220590038211E+01,  0.0000000000000E+00,  1.0000000000000E+00,  3.0000000000000E+03,  8.9000000000000E+01
   1,     0,     1,  1.3933364910592E+01,  1.5812552521315E+02,  9.8187998941847E+00,  3.0000000000003E+03,  9.8818799894185E+01
   2,     0,     2,  1.3933281943031E+01,  1.1302477563949E+00,  1.7133215519347E-01,  3.0000000000002E+03,  9.8647467738991E+01
   3,     0,     3,  1.3933281940079E+01,  1.0000000000000E+00,  1.0175229812859E-03,  3.0000000000002E+03,  9.8648485261973E+01
   4,     0,     4,  1.3933281940079E+01,  1.3089224208310E+00,  2.3583652790747E-06,  3.0000000000003E+03,  9.8648482903607E+01
   5,     0,     5,  1.3933281940079E+01,  0.0000000000000E+00,  9.6484829036073E+00,  3.0000000000003E+03,  9.8648482903607E+01
   5,     1,     0,  1.3933281940079E+01,  0.0000000000000E+00,  9.6484829036073E+00,  3.0000000000003E+03,  9.8648482903607E+01
   6,     1,     1,  1.3933281940079E+01,  0.0000000000000E+00,  0.0000000000000E+00,  3.0000000000003E+03,  9.8648482903607E+01
   6,     2,     1,  1.3933281940079E+01,  0.0000000000000E+00,  0.0000000000000E+00,  3.0000000000003E+03,  9.8648482903607E+01
